"";"X.."
"384";"287- DIREITO PENAL#,3369- Crimes contra a vida#,12131- Homicídio Agravado pelo Extermínio de Seres Humanos#,12358- Feminicídio"
"385";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10120- Intervenção do Estado na Propriedade#,10121- Desapropriação"
"386";"14- DIREITO TRIBUTÁRIO#,5933- IRPJ/Imposto de Renda de Pessoa Jurídica#,6036- Contribuição Social sobre o Lucro Líquido#,5936- Incidência sobre Aplicações Financeiras"
"387";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10394- Dívida Ativa não-tributária#,10401- Taxa de Ocupação / Laudêmio / Foro"
"388";"14- DIREITO TRIBUTÁRIO#,5916- Impostos#,5955- ITCD - Imposto de Transmissão Causa Mortis"
"389";"14- DIREITO TRIBUTÁRIO#,5946- ICMS/ Imposto sobre Circulação de Mercadorias#,5994- Compensação#,5981- Substituição Tributária"
"390";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8874- Sucumbência"
"391";"14- DIREITO TRIBUTÁRIO#,6048- Contribuições Previdenciárias#,6063- Auxílio-Alimentação"
"392";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,12946- Ação Civil Pública#,10154- Expurgos Inflacionários / Planos Econômicos#,9148- Liquidação / Cumprimento / Execução"
"393";"287- DIREITO PENAL#,9678- Roubo (art. 157)#,7791- Pena Privativa de Liberdade"
"394";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6175- Cumulação#,14766- Seringueiro"
"395";"287- DIREITO PENAL#,10621- Aplicação da Pena#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas"
"396";"1209- DIREITO PROCESSUAL PENAL#,10636- Livramento condicional"
"397";"1209- DIREITO PROCESSUAL PENAL#,7929- Prisão em flagrante"
"398";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,12943- Processo Coletivo "
"399";"287- DIREITO PENAL#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas#,3633- Crimes do Sistema Nacional de Armas"
"400";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3618- Crimes contra o Meio Ambiente e o Patrimônio Genético#,3619- Crimes contra a Fauna"
"401";"287- DIREITO PENAL"
"402";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9991- Responsabilidade da Administração"
"403";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8828- Jurisdição e Competência#,9148- Liquidação / Cumprimento / Execução#,10653- Competência da Justiça Federal#,10654- Competência da Justiça Estadual#,12946- Ação Civil Pública "
"404";"287- DIREITO PENAL#,9824- Falsa identidade"
"405";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,7792- Pena de Multa"
"406";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,14070- Fazenda Pública#,8874- Sucumbência#,10658- Custas"
"407";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,7791- Pena Privativa de Liberdade#,14934- Unificação de Pena"
"408";"14- DIREITO TRIBUTÁRIO#,6031- Contribuições#,6071- Contribuições Especiais#,6085- FGTS/Fundo de Garantia Por Tempo de Serviço"
"409";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,5632- Prescrição e Decadência#,10009- Inquérito / Processo / Recurso Administrativo"
"410";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9997- Atos Administrativos#,10385- Licitações"
"411";"287- DIREITO PENAL#,10621- Aplicação da Pena#,3603- Crimes Previstos na Legislação Extravagante#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas"
"412";"14- DIREITO TRIBUTÁRIO#,6031- Contribuições#,6048- Contribuições Previdenciárias#,5917- IRPF/Imposto de Renda de Pessoa Física#,6008- Base de Cálculo"
"413";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,14919- Atraso na Entrega do Imóvel"
"414";"14- DIREITO TRIBUTÁRIO#,6033- Contribuições Sociais#,10562- COFINS - Importação"
"415";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10157- Organização Político-administrativa / Administração Pública#,10166- Conselhos Regionais de Fiscalização Profissional e Afins#,10172- Anuidades OAB"
"416";"899- DIREITO CIVIL#,9616- Empresas#,4993- Recuperação judicial e Falência#,9558- Administração judicial"
"417";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10157- Organização Político-administrativa / Administração Pública#,10166- Conselhos Regionais de Fiscalização Profissional e Afins#,10173- Exercício Profissional"
"418";"899- DIREITO CIVIL#,4897- Associação#,9163- Penhora / Depósito/ Avaliação "
"419";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10656- Honorários Advocatícios em Execução Contra a Fazenda Pública"
"420";"287- DIREITO PENAL#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas"
"421";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,7791- Pena Privativa de Liberdade#,10635- Progressão de Regime"
"422";"1209- DIREITO PROCESSUAL PENAL#,9895- Estatuto da criança e do adolescente#,14228- Previstos na Lei Maria da Penha"
"423";"1209- DIREITO PROCESSUAL PENAL#,14929- Comutação de Pena#,14930- Falta Grave"
"424";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10312- Piso Salarial"
"425";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução"
"426";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,9992- Indenização por Dano Moral#,10443- Direito de Imagem"
"427";"14- DIREITO TRIBUTÁRIO#,5986- Crédito Tributário#,6089- Regimes Especiais de Tributação#,6091- PAES/Parcelamento Especial"
"428";"287- DIREITO PENAL#,10621- Aplicação da Pena#,3603- Crimes Previstos na Legislação Extravagante#,14226- Crimes Previstos na Lei Maria da Penha"
"429";"899- DIREITO CIVIL#,9981- Pessoas Jurídicas#,4897- Associação#,7681- Obrigações#,9580- Espécies de Contratos#,9587- Compra e Venda"
"430";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios#,10357- Licença Prêmio"
"431";"14- DIREITO TRIBUTÁRIO#,6089- Regimes Especiais de Tributação#,15051- Reintegra#,5913- Limitações ao Poder de Tributar#,5915- Isenção#,15001- Áreas de Livre Comércio - ZFM e/ou Outras"
"432";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8867- Substituição Processual#,9494- Substituição da Parte"
"433";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8938- Formação#,Suspensão e Extinção do Processo#,8942- Extinção do Processo Sem Resolução de Mérito#,10735- Ausência de Interesse Processual"
"434";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,8874- Sucumbência#,195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6118- Aposentadoria por Tempo de Contribuição (Art. 55/6)"
"435";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios"
"436";"1209- DIREITO PROCESSUAL PENAL#,287- DIREITO PENAL#,10620- Parte Geral#,10622- Extinção da Punibilidade#,10623- Prescrição"
"437";"14- DIREITO TRIBUTÁRIO#,5986- Crédito Tributário#,5987- Suspensão da Exigibilidade#,5988- Carta de fiança"
"438";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,7699- Juros de Mora - Legais / Contratuais#,10433- Indenização por Dano Moral"
"439";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10655- Honorários Advocatícios#,10656- Honorários Advocatícios em Execução Contra a Fazenda Pública"
"440";"14- DIREITO TRIBUTÁRIO#,5946- ICMS/ Imposto sobre Circulação de Mercadorias#,6036- Contribuição Social sobre o Lucro Líquido#,6008- Base de Cálculo#,5933- IRPJ/Imposto de Renda de Pessoa Jurídica"
"441";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8828- Jurisdição e Competência#,10897- Competência dos Juizados Especiais"
"442";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10091- Terreno de Marinha#,10093- Foro / Laudêmio"
"443";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8874- Sucumbência#,12995- Honorários Advocatícios#,8934- Valor da Causa"
"444";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,4305- Recurso#,13009- Multa por Agravo Inadmissível ou Infundado"
"445";"899- DIREITO CIVIL#,5833- Petição de Herança#,15046- Investigação de Paternidade Pós Morte#,5632- Prescrição e Decadência"
"446";"1209- DIREITO PROCESSUAL PENAL#,14226- Crimes Previstos na Lei Maria da Penha#,7792- Pena de Multa"
"447";"899- DIREITO CIVIL#,9617- Espécies de Sociedades#,9625- Cooperativa#,4940- Ingresso e Exclusão dos Sócios na Sociedade"
"448";"1209- DIREITO PROCESSUAL PENAL#,14226- Crimes Previstos na Lei Maria da Penha#,14227- Crime de Descumprimento de Medida Protetiva  de Urgência"
"449";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10655- Honorários Advocatícios#,14067- Legitimidade Ativa e Passiva"
"450";"1209- DIREITO PROCESSUAL PENAL#,3608- Tráfico de Drogas e Condutas Afins"
"451";"287- DIREITO PENAL#,3463- Crimes contra a Dignidade Sexual#,11417- Estupro de vulnerável"
"452";"287- DIREITO PENAL#,9740- Contra a dignidade sexual#,11456- Estupro de Vulnerável#,10620- Parte Geral#,10621- Aplicação da Pena"
"453";"287- DIREITO PENAL#,10612- Tipicidade"
"454";"1209- DIREITO PROCESSUAL PENAL#,4305- Recurso#,10620- Parte Geral#,10621- Aplicação da Pena#,10633- Regime inicial"
"455";"899- DIREITO CIVIL#,5632- Prescrição e Decadência#,10075- Energia Elétrica"
"456";"899- DIREITO CIVIL#,10432- Coisas#,10448- Propriedade#,10462- Condomínio#,7681- Obrigações#,9580- Espécies de Contratos#,9587- Compra e Venda#,10431- Responsabilidade Civil"
"457";"14- DIREITO TRIBUTÁRIO#,6017- Dívida Ativa (Execução Fiscal)#,899- DIREITO CIVIL#,4935- Dissolução#,4939- Desconsideração da Personalidade Jurídica#,4942- Responsabilidade dos sócios e administradores#,5724- Sociedade"
"458";"1209- DIREITO PROCESSUAL PENAL#,10926- Prova Ilícita"
"459";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,9419- Execução Previdenciária"
"460";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios#,10305- Gratificações de Atividade"
"461";"287- DIREITO PENAL#,9674- Contra o Patrimônio#,9678- Roubo (art. 157)#,10612- Tipicidade"
"462";"287- DIREITO PENAL#,3415- Crimes contra o Patrimônio#,3416- Furto#,10612- Tipicidade#,10615- Princípio da Insignificância"
"463";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,14067- Legitimidade Ativa e Passiva#,10100- Reintegração de Posse"
"464";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10671- Obrigação de Fazer / Não Fazer"
"465";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,14067- Legitimidade Ativa e Passiva"
"466";"899- DIREITO CIVIL#,5779- Alimentos"
"467";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,5632- Prescrição e Decadência"
"468";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,6017- Dívida Ativa (Execução Fiscal)#,10656- Honorários Advocatícios em Execução Contra a Fazenda Pública"
"469";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,195- DIREITO PREVIDENCIÁRIO#,8874- Sucumbência#,10655- Honorários Advocatícios#,9419- Execução Previdenciária"
"470";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,12480- DIREITO DA SAÚDE#,12511- Sistema Único de Saúde (SUS)#,12514- Reajuste da tabela do SUS"
"471";"14- DIREITO TRIBUTÁRIO#,5916- Impostos#,5917- IRPF/Imposto de Renda de Pessoa Física#,4805- Previdência privada"
"472";"287- DIREITO PENAL#,3574- Contrabando ou descaminho#,10615- Princípio da Insignificância"
"473";"1209- DIREITO PROCESSUAL PENAL#,10622- Extinção da Punibilidade#,7792- Pena de Multa"
"474";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3629- Crimes contra as Telecomunicações"
"475";"287- DIREITO PENAL#,287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3603- Crimes Previstos na Legislação Extravagante#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas"
"476";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3637- Crimes Previstos no Estatuto da criança e do adolescente"
"477";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,7791- Pena Privativa de Liberdade#,10637- Remição"
"478";"287- DIREITO PENAL#,10621- Aplicação da Pena#,10633- Regime inicial#,7791- Pena Privativa de Liberdade#,7790- Pena Restritiva de Direitos"
"479";"287- DIREITO PENAL#,3415- Crimes contra o Patrimônio#,3430- Apropriação indébita Previdenciária#,3547- Crimes Praticados por Funcionários Públicos Contra a Administração em Geral#,9928- Sonegação de contribuição previdenciária (art. 337-A e Lei 8.212/91)"
"480";"14- DIREITO TRIBUTÁRIO#,6048- Contribuições Previdenciárias"
"481";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,9494- Substituição da Parte"
"482";"899- DIREITO CIVIL#,12480- DIREITO DA SAÚDE#,12486- Planos de saúde"
"483";"14- DIREITO TRIBUTÁRIO#,6039- PIS#,6035- Cofins#,10559- Cálculo de ICMS &quot;por dentro&quot;"
"484";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10655- Honorários Advocatícios#,9148- Liquidação / Cumprimento / Execução#,9045- Recurso"
"485";"14- DIREITO TRIBUTÁRIO#,5951- ISS/ Imposto sobre Serviços"
"486";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9494- Substituição da Parte"
"487";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,9163- Penhora / Depósito/ Avaliação "
"488";"14- DIREITO TRIBUTÁRIO#,6031- Contribuições#,6033- Contribuições Sociais#,6035- Cofins#,6039- PIS"
"489";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3632- Crimes de Trânsito#,3385- Lesão Corporal"
"490";"1209- DIREITO PROCESSUAL PENAL#,10949- Violência Doméstica Contra a Mulher"
"491";"1209- DIREITO PROCESSUAL PENAL#,10637- Remição"
"492";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,6085- FGTS/Fundo de Garantia Por Tempo de Serviço"
"493";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10938- Citação#,6017- Dívida Ativa (Execução Fiscal)"
"494";"195- DIREITO PREVIDENCIÁRIO#,12947- Antecipação de Tutela / Recebimento como Cautelar "
"495";"899- DIREITO CIVIL#,10433- Indenização por Dano Moral"
"496";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,13237- Ônus da Prova"
"497";"14- DIREITO TRIBUTÁRIO"
"498";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8893- Atos Processuais#,9414- Extinção da Execução#,899- DIREITO CIVIL#,4701- Ato / Negócio Jurídico#,5632- Prescrição e Decadência"
"499";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,9597- Seguro"
"500";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,14- DIREITO TRIBUTÁRIO#,5986- Crédito Tributário#,5990- Extinção do Crédito Tributário"
"501";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8829- Competência#,6233- Planos de Saúde"
"502";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8828- Jurisdição e Competência#,8829- Competência"
"503";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10088- Domínio Público#,10131- Privatização#,10385- Licitações"
"504";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10028- Serviços#,10073- Concessão / Permissão / Autorização"
"505";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9997- Atos Administrativos#,10022- Infração Administrativa#,10023- Multas e demais Sanções#,10136- Intervenção no Domínio Econômico#,11871- Agências/órgãos de regulação"
"506";"10110- DIREITO AMBIENTAL#,11823- Reserva legal"
"507";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8938- Formação#,Suspensão e Extinção do Processo#,12963- Condições da Ação#,14067- Legitimidade Ativa e Passiva#,12480- DIREITO DA SAÚDE#,12481- Pública#,12484- Fornecimento de medicamentos#,12492- Registrado na ANVISA#,12495- Não padronizado"
"508";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9997- Atos Administrativos#,10015- Fiscalização#,10016- Inspeção Fitossanitária#,9998- Licenças"
"509";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6104- Pensão por Morte (Art. 74/9)"
"510";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6114- Benefício Assistencial (Art. 203,V CF/88)#,6160- Disposições Diversas Relativas às Prestações"
"511";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6118- Aposentadoria por Tempo de Contribuição (Art. 55/6)#,6173- Pedidos Genéricos Relativos aos Benefícios em Espécie#,6179- Conversão"
"512";"195- DIREITO PREVIDENCIÁRIO#,6173- Pedidos Genéricos Relativos aos Benefícios em Espécie#,6181- Tempo de serviço#,6189- Certidão de Tempo de Serviço"
"513";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10313- Reajustes de Remuneração#,Proventos ou Pensão#,10220- Regime Estatutário#,10239- Nomeação#,10229- Remoção"
"514";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8960- Processo e Procedimento#,8961- Antecipação de Tutela / Tutela Específica#,195- DIREITO PREVIDENCIÁRIO"
"515";"8842- Partes e Procuradores#,8874- Sucumbência#,10655- Honorários Advocatícios#,10087- Defensoria Pública"
"516";"6173- Pedidos Genéricos Relativos aos Benefícios em Espécie#,195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie"
"517";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,5632- Prescrição e Decadência#,10219- Servidor Público Civil#,10254- Aposentadoria"
"518";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10313- Reajustes de Remuneração#,Proventos ou Pensão"
"519";"6099- Aposentadoria por Tempo de Serviço (Art. 52/4)#,6184- Averbação/Cômputo de tempo de serviço  rural (empregado/empregador)#,195- DIREITO PREVIDENCIÁRIO"
"520";"10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios#,10291- Adicional de Insalubridade#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"521";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,5632- Prescrição e Decadência#,10219- Servidor Público Civil#,10250- Pensão"
"522";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,5632- Prescrição e Decadência#,10219- Servidor Público Civil#,10313- Reajustes de Remuneração#,Proventos ou Pensão"
"523";"6094- Benefícios em Espécie#,6118- Aposentadoria por Tempo de Contribuição (Art. 55/6)#,6100- Aposentadoria Especial (Art. 57/8)#,195- DIREITO PREVIDENCIÁRIO"
"524";"9997- Atos Administrativos#,10022- Infração Administrativa#,10023- Multas e demais Sanções#,10417- Sistema Nacional de Trânsito#,195- DIREITO PREVIDENCIÁRIO"
"525";"6095- Aposentadoria por Incapacidade Permanente#,6173- Pedidos Genéricos Relativos aos Benefícios em Espécie#,6174- Data de Início de Benefício (DIB)#,195- DIREITO PREVIDENCIÁRIO"
"526";"6094- Benefícios em Espécie#,6100- Aposentadoria Especial (Art. 57/8)#,195- DIREITO PREVIDENCIÁRIO"
"527";"10028- Serviços#,10029- Ensino Superior#,10047- Residência Médica#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"528";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6118- Aposentadoria por Tempo de Contribuição (Art. 55/6)#,6120- RMI - Renda Mensal Inicial"
"529";"5916- Impostos#,5917- IRPF/Imposto de Renda de Pessoa Física#,10661- Incidência sobre Abono de Permanência#,14- DIREITO TRIBUTÁRIO"
"530";"5916- Impostos#,5917- IRPF/Imposto de Renda de Pessoa Física#,14- DIREITO TRIBUTÁRIO"
"531";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,6005- Juros/Correção Monetária#,6085- FGTS/Fundo de Garantia Por Tempo de Serviço"
"532";"195- DIREITO PREVIDENCIÁRIO#,6100- Aposentadoria Especial (Art. 57/8)#,195- DIREITO PREVIDENCIÁRIO"
"533";"899- DIREITO CIVIL#,7681- Obrigações#,9587- Compra e Venda#,7691- Inadimplemento#,7700- Cláusula Penal"
"534";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,9607- Contratos Bancários#,7699- Juros de Mora - Legais / Contratuais#,10585- Capitalização / Anatocismo"
"535";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios#,10298- Diárias e Outras Indenizações"
"536";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,10438- Dano Ambiental#,10439- Indenização por Dano Material#,10433- Indenização por Dano Moral"
"537";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10337- Sistema Remuneratório e Benefícios#,9998- Licenças"
"538";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10313- Reajustes de Remuneração#,Proventos ou Pensão"
"539";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10318- Índice da URV Lei 8.880/1994#,10313- Reajustes de Remuneração#,Proventos ou Pensão#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão"
"540";"10288- Sistema Remuneratório e Benefícios#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil"
"541";"10324- Militar#,10349- Reforma#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"542";"10343- Índice de 28,86% LL 8.622/1993 e 8.627/1993#,10324- Militar#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"543";"7697- Correção Monetária#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,10324- Militar#,10343- Índice de 28,86% LL 8.622/1993 e 8.627/1993#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"544";"10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,10324- Militar#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"545";"5632- Prescrição e Decadência#,10324- Militar#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,10343- Índice de 28,86% LL 8.622/1993 e 8.627/1993#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"546";"5632- Prescrição e Decadência#,10324- Militar#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,10344- Índice da URV Lei 8.880/1994#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"547";"5632- Prescrição e Decadência#,10324- Militar#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,10345- Índice do IPC  junho/1987#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"548";"10324- Militar#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,10343- Índice de 28,86% LL 8.622/1993 e 8.627/1993#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"549";"10219- Servidor Público Civil#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"550";"10313- Reajustes de Remuneração#,Proventos ou Pensão#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10318- Índice da URV Lei 8.880/1994"
"551";"9050- Preparo/Deserção#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9045- Recurso"
"552";"6107- Auxílio-Acidente (Art. 86)#,195- DIREITO PREVIDENCIÁRIO"
"553";"10633- Regime inicial#,10628- Substituição da Pena#,10621- Aplicação da Pena#,10620- Parte Geral#,287- DIREITO PENAL"
"554";"6170- Perda da qualidade de segurado#,6104- Pensão por Morte (Art. 74/9)#,195- DIREITO PREVIDENCIÁRIO"
"555";"6107- Auxílio-Acidente (Art. 86)#,195- DIREITO PREVIDENCIÁRIO#,6112- Redução da Capacidade Auditiva"
"556";"10946- Correção Monetária de Diferenças Pagas em Atraso"
"557";"1156- DIREITO DO CONSUMIDOR"
"558";"899- DIREITO CIVIL#,7770- Interpretação / Revisão de Contrato"
"559";"10586- Limitação de Juros#,7699- Juros de Mora - Legais / Contratuais#,9607- Contratos Bancários#,899- DIREITO CIVIL"
"560";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8961- Antecipação de Tutela / Tutela Específica"
"561";"9192- Tutela Provisória#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"562";"8961- Antecipação de Tutela / Tutela Específica#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"563";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9192- Tutela Provisória"
"564";""
"565";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9493- Capacidade Processual#,8842- Partes e Procuradores#,8960- Processo e Procedimento"
"566";"9617- Espécies de Sociedades#,9616- Empresas#,899- DIREITO CIVIL#,9623- Anônima#,90002- Subscrição de Ações"
